date,storage,inflow,outflow,elevation,evaporation
1984-08-02,1103.43,NA,NA,143.195,NA
1984-08-03,1109.367,NA,NA,143.256,NA
1984-08-04,1115.33,NA,NA,143.317,NA
1984-08-05,1115.33,NA,NA,143.317,NA
1984-08-06,1112.346,NA,NA,143.286,NA
1984-08-07,1094.569,NA,NA,143.104,NA
1984-08-08,1103.43,NA,NA,143.195,NA
1984-08-09,1115.33,NA,NA,143.317,NA
1984-08-10,1121.316,NA,NA,143.378,NA
1984-08-11,1115.33,NA,NA,143.317,NA
1984-08-12,1103.43,NA,NA,143.195,NA
1984-08-13,1091.627,NA,NA,143.073,NA
1984-08-14,1097.517,NA,NA,143.134,NA
1984-08-15,1106.396,NA,NA,143.226,NA
1984-08-16,1103.43,NA,NA,143.195,NA
1984-08-17,1109.367,NA,NA,143.256,NA
1984-08-18,1109.367,NA,NA,143.256,NA
1984-08-19,1109.367,NA,NA,143.256,NA
1984-08-20,1109.367,NA,NA,143.256,NA
1984-08-21,1109.367,NA,NA,143.256,NA
1984-08-22,1115.33,NA,NA,143.317,NA
1984-08-23,1118.32,NA,NA,143.347,NA
1984-08-24,1121.316,NA,NA,143.378,NA
1984-08-25,1115.33,NA,NA,143.317,NA
1984-08-26,1112.346,NA,NA,143.286,NA
1984-08-27,1109.367,NA,NA,143.256,NA
1984-08-28,1109.367,NA,NA,143.256,NA
1984-08-29,1109.367,NA,NA,143.256,NA
1984-08-30,1112.346,NA,NA,143.286,NA
1984-08-31,1112.346,NA,NA,143.286,NA
1984-09-01,1115.33,NA,NA,143.317,NA
1984-09-02,1115.33,NA,NA,143.317,NA
1984-09-03,1115.33,NA,NA,143.317,NA
1984-09-04,1115.33,NA,NA,143.317,NA
1984-09-05,1124.318,NA,NA,143.408,NA
1984-09-06,1112.346,NA,NA,143.286,NA
1984-09-07,1109.367,NA,NA,143.256,NA
1984-09-08,1109.367,NA,NA,143.256,NA
1984-09-09,1115.33,NA,NA,143.317,NA
1984-09-10,1115.33,NA,NA,143.317,NA
1984-09-11,1115.33,NA,NA,143.317,NA
1984-09-12,1115.33,NA,NA,143.317,NA
1984-09-13,1115.33,NA,NA,143.317,NA
1984-09-14,1121.316,NA,NA,143.378,NA
1984-09-15,1115.33,NA,NA,143.317,NA
1984-09-16,1112.346,NA,NA,143.286,NA
1984-09-17,1109.367,NA,NA,143.256,NA
1984-09-18,1106.396,NA,NA,143.226,NA
1984-09-19,1106.396,NA,NA,143.226,NA
1984-09-20,1106.396,NA,NA,143.226,NA
1984-09-21,1109.367,NA,NA,143.256,NA
1984-09-22,1109.367,NA,NA,143.256,NA
1984-09-23,1118.32,NA,NA,143.347,NA
1984-09-24,1118.32,NA,NA,143.347,NA
1984-09-25,1118.32,NA,NA,143.347,NA
1984-09-26,1121.316,NA,NA,143.378,NA
1984-09-27,1118.32,NA,NA,143.347,NA
1984-09-28,1118.32,NA,NA,143.347,NA
1984-09-29,1118.32,NA,NA,143.347,NA
1984-09-30,1118.32,NA,NA,143.347,NA
1984-10-01,1109.367,NA,NA,143.256,NA
1984-10-02,1106.396,NA,NA,143.226,NA
1984-10-03,1106.396,NA,NA,143.226,NA
1984-10-04,1109.367,NA,NA,143.256,NA
1984-10-05,1112.346,NA,NA,143.286,NA
1984-10-06,1109.367,NA,NA,143.256,NA
1984-10-07,1109.367,NA,NA,143.256,NA
1984-10-08,1124.318,NA,NA,143.408,NA
1984-10-09,1124.318,NA,NA,143.408,NA
1984-10-10,1130.34,NA,NA,143.469,NA
1984-10-11,1136.388,NA,NA,143.53,NA
1984-10-12,1136.388,NA,NA,143.53,NA
1984-10-13,1136.388,NA,NA,143.53,NA
1984-10-14,1148.556,NA,NA,143.652,NA
1984-10-15,1139.421,NA,NA,143.561,NA
1984-10-16,1139.421,NA,NA,143.561,NA
1984-10-17,1142.459,NA,NA,143.591,NA
1984-10-18,1142.459,NA,NA,143.591,NA
1984-10-19,1170.088,NA,NA,143.866,NA
